person_id,title,firm,start_date,end_date,location
34,SQL DBA,Azizi Bank,03/2014,12/2015,
35,PROJECT MANAGER,Romisoft,12/2018,Present,"Seattle, WA"
35,PROJECT MANAGER,Scotsman Guide Media,11/2018,12/2018,"Bothell, WA"
35,ASSOCIATE SCRUM MASTER,Premera Blue Cross,05/2017,05/2018,"Seattle, WA"
35,DATABASE ADMINISTRATOR,Premera Blue Cross,03/2014,05/2017,"Seattle, WA"
35,DATABASE ADMINISTRATOR,Realty in Motion,06/2013,08/2013,"Bellevue, WA"
36,Database Administrator,Amdocs DVCI,04/2014,07/2017,"South Plainfield, NJ"
36,Database Administrator,Pansoft Data Solutions Pvt. Ltd,01/2013,04/2014,
37,SQL Database Administrator,AGO GLOBAL CONSULTING,10/2015,Present,"Columbia, MD"
37,SQL Database Administrator,InfoView Data Solution Inc,06/2013,10/2015,"Highland, MD"
37,SQL Database Administrator,ISHGLO - One - Corp,09/2012,05/2013,"Frederick, MD"
38,Sr. Business Analyst,Wells Fargo,11/2017,Present,"New Jersey, Jersey City, NJ"
38,Sr. Business Analyst,"Federal Mogul, Bold chat",11/2014,12/2016,"Atlanta, GA"
38,Business Analyst,Chrysler,02/2014,10/2014,"Detroit, MI"
38,Business Analyst,Dollar General,06/2012,12/2013,"New York, NY"
38,Sr database administrator,"Miller Coors, Irvin oil",11/2011,06/2012,"New York, NY"
38,Database administrator,Avis Budget Car Rental,12/2010,10/2011,"Houston, TX"
39,Oracle Database Administrator,Vectren,08/2015,06/2019,"Evansville, IN"
39,Oracle DBA,Admiral Insurance Company,11/2012,09/2015,"Austin, TX"
40,Oracle Database Administrator,Vectren,08/2015,06/2019,"Evansville, IN"
40,Oracle DBA,Admiral Insurance Company,11/2012,09/2015,"Austin, TX"
41,SQL Server Database Administrator,Comcast Cable,01/2017,Present,"Baltimore, MD"
41,SQL Server DBA,Charter Communications,11/2013,12/2016,"Charlotte, NC"
41,SQL Database Administrator,Cisco Systems,03/2010,09/2013,"Lagos, NG"
42,Database Administrator,Service Source Inc,12/2017,Present,"Oakton, VA"
42,Senior Quality Monitor,GDIT,07/2012,12/2017,"Alexandria, VA"
43,SQL Server DBA,"Aureus Tech Systems, LLC",01/2018,Present,"Temple, TX"
43,SQL Server DBA,Aureus Group,03/2016,12/2017,"Omaha, NE"
43,SQL Server DBA,Citadel Information Services Inc,07/2014,02/2016,"Iselin, NJ"
43,Database Administrator,NETE,01/2013,06/2014,"Rockville, MD"
43,Database Administrator,Karsun Solutions LLC,07/2009,05/2011,"Herndon, VA"
44,Business Intelligence Database Administrator,American Family Insurance,06/14,Present,"Waterloo, WI"
45,COOK,SOUTHERN HILLS COUNTRY CLUB,03/2015,Present,"Tulsa, OK"
45,COOK,REASORS,02/2013,03/2015,
45,DATABASE ADMINISTRATOR,UNITED STATES MARINE CORPS,04/2010,01/2011,
45,AIRFRAME MECHANIC,UNITED STATES MARINE CORPS,10/2009,01/2011,
46,DATABASE AND SYSADMIN CONSULTANT,US Airforce,03/19,Present,"San Antonio, TX"
46,DATABASE ADMIN,US Airforce,12/17,Present,"San Antonio, TX"
46,SQL DBA,Wurth,09/14,12/16,"Billings, MT"
46,Oracle/SQL Database Administrator,"USS BATAAN, US NAVY",06/11,05/14,"Norfolk, VA"
47,Senior Database Administrator,AppLab Systems Inc,10/2015,Present,"Edison, NJ"
47,Senior Database Administrator,Infinite Computer Solutions,07/2013,10/2014,"Edison, NJ"
48,Oracle Database Administrator,Jelani Consulting LLC,02/2017,Present,"Washington, DC"
48,Project Manager (National TB Project),Somali Health Initiative for All Trust,10/2015,01/2017,
48,Technical Adviser,Republic of Somaliland Ministry of Health,09/2015,01/2017,
48,Oracle Database Administrator,Jelani Consulting LLC,08/2014,09/2015,"Reston, VA"
48,Junior Oracle Database Administrator,Jelani Consulting LLC,08/2012,08/2014,"Glen Allen, VA"
49,SQL Server Database Administrator,PenFed Credit Union,02/2019,Present,"Chantilly, VA"
49,SQL Server Database Administrator,"Dep of Health and Human Services, MD",02/2015,01/2019,
49,MS SQL Database Administrator,"Department of Labour - Washington, DC",08/2012,12/2014,
50,SQL Server Database Administrator,PricewaterhouseCoopers,05/2018,Present,"Tampa, FL"
50,Sr.SQL Server Database Administrator,Deloitte,06/2016,04/2018,"Harrisburg, PA"
50,SQL Server Database Administrator,Unisys,09/2014,05/2016,"Reston, VA"
50,SQL Server Database Administrator,McKesson,11/2012,08/2014,"San Francisco, CA"
50,SQL Server Database Administrator,The Boeing Company,04/2010,10/2012,"Milford, OH"
51,Sr.SQL Server Database Administrator,Cox Enterprises,02/2017,Present,"Atlanta, GA"
51,SQL Server Database Administrator,Deloitte,07/2015,04/2017,"Harrisburg, PA"
51,SQL Server DBA,The Boeing Company,04/2013,06/2015,"Milford, OH"
51,SQL Server DBA,Dimensional Fund Advisors,02/2011,03/2013,"Austin, TX"
51,SQL Server DBA,"AWS, RDS",04/2010,01/2011,
52,"Sr. Oracle, PostgreSQL Database Administrator/ Database Security Engineer",Marsh & McLennan Companies,02/14,Present,"Hoboken, NJ"
52,"Oracle, PostgreSQL Database Administrator",DirecTV,01/13,02/14,"El Segundo, CA"
53,Data Engineer,"UnitedHealth Group, MN",04/2019,Present,"Woodbury, MN"
53,Oracle Database Administrator,SUBARU AUTOMOTIVE,10/2015,03/2019,"Lafayette, IN"
53,Oracle Database Administrator,MATERIAL IN MOTION (MIM),06/2012,09/2015,"Fairburn, GA"
54,Database Administrator (Oracle),Netlinks,05/2016,05/2019,"Madison, NJ"
54,Oracle Database Administrator,Afghan Wireless Communication Company (AWCC),11/2013,04/2016,Afghanistan
54,IT Officer,Brac Bank,01/2007,07/2008,Afghanistan
54,IT Technician,Future Tech,06/2004,10/2006,Afghanistan
55,Software Developer,The Parts House Acquisitions LLC,07/2017,Present,"Jacksonville, FL"
55,Software Developer,NETLINKS,02/2014,02/2017,"Kabul, AF"
55,Database Developer/ Administrator,Afghan Public Protection Force,05/2012,01/2014,Kabul
56,Web Developer,TOWN RESIDENTIAL,08/16,04/18,"New York, NY"
56,Database Administrator,TOWN RESIDENTIAL,08/15,08/16,"New York, NY"
56,Computer Specialist,SOUTH BRONX PREPARATORY,09/10,08/15,"Bronx, NY"
57,Principal Database Development Engineer,REI Systems,09/11,Present,"Ashburn, VA"
57,Intern - IT Support,The Shams Group,05/11,09/11,
57,Database Analyst / Developer,"Center of Information Technology and Management - Dallas, TX",01/11,05/11,The University of Texas at Dallas
57,Microsoft SQL Server Database Administrator,Clover InfoTech Private Limited,03/08,06/09,
58,Business Analyst,Crown Castle,06/15,04/17,"Canonsburg, PA"
58,Database Administrator,RDX,05/13,06/15,"Pittsburgh, PA"
58,Junior Database Administrator,RDX,06/12,05/13,"Pittsburgh, PA"
59,SQL Database Administrator,SouthCoast Health,01/18,Present,"Savannah, GA"
59,SQL Server DBA,ATC Healthcare Services,04/12,01/18,"Upper Marlboro, MD"
60,"Application, Database & Security Administrator",ORIENTAL BANK,01/2016,Present,"San Juan, PR"
60,Desktop Support Specialist,ORIENTAL BANK,05/2012,01/2016,"San Juan, PR"
61,SQL Database Administrator,MetLife,07/2017,Present,"Queens, NY"
61,SQL Database Administrator,African Development Foundation,01/2016,06/2017,"Washington, DC"
61,SQL Server DBA 3,Bank,01/2014,12/2015,"Cincinnati, OH"
62,Scrum Master,Connections Education LLC,04/2017,Present,"Columbia, MD"
62,Scrum Master,Xerox Corporation,05/2014,04/2017,"Rochester, NY"
62,Oracle Database Administrator,New York Times,03/2011,02/2014,"Manhattan, NY"
63,Oracle Database Administrator,FedEx Supply Chain,11/2015,Present,"Cranberry, PA"
63,Oracle Database Administrator (DBA),Natsoft corporation,03/2015,11/2015,"Somerset, NJ"
63,Senior Database Administrator,Sherwin-Williams,02/2014,01/2015,Kuala-Lumpur
63,Database Administrator,OSI consulting,11/2012,12/2013,"Hyderabad, Telangana"
63,Oracle Database Administrator,Y-brant Digital,05/2012,10/2013,"Hyderabad, Telangana"
63,Oracle Administrator,3k Technologies,07/2010,04/2012,"Hyderabad, Telangana"
64,DEVOPS DBA,XPO Logistics,06/18,05/19,"Charlotte, NC"
64,Independent SQL Consultant,,01/17,06/18,
64,Contract DBA,OIT- State of Colorado,08/16,11/16,"Denver, CO"
64,Database Specialist,Medtronic,07/15,05/16,"Boulder, CO"
64,Senior Database Administrator,LenderLive,02/15,07/15,"Glendale, CO, US"
64,Database Contractor,Ball Aerospace,02/14,06/14,"Lafayette, CO"
64,Lead Resource,Northrop Grumman,04/13,02/14,"Newport News, VA"
64,Database Consultant/BI Architect,"Polypore, Inc",05/12,09/12,"Charlotte, NC"
64,ESOC SQL Database Administrator III,Science Applications International Corporation,08/10,04/12,"Charleston, SC"
